DateTime,TEMP,CO,NO,NO2,PM10,PM2.5,HUM,DIR,SPD,PRES,Month,Hour,TF_CNT
2019-01-01 00:00:00,-13.26,0.28,1.66,7.0,8.62,6.3,80.04,189.9,2.65,625.0,1,0,2042.0
2019-01-01 01:00:00,-14.22,0.27,0.66,6.0,8.71,4.41,75.21,282.43,2.7,625.24,1,1,1949.0
2019-01-01 02:00:00,-14.3,0.29,0.63,7.31,6.82,5.24,79.09,310.47,2.26,630.04,1,2,1527.0
2019-01-01 03:00:00,-14.44,0.29,0.56,6.42,9.1,6.56,79.54,295.01,2.18,630.4,1,3,1403.0
2019-01-01 04:00:00,-14.82,0.29,0.72,8.13,5.94,4.7,79.86,298.92,1.55,630.4,1,4,1793.0
2019-01-01 05:00:00,-15.03,0.16,4.16,7.07,4.59,3.9,81.17,113.13,1.0,630.4,1,5,2165.0
2019-01-01 06:00:00,-15.2,0.54,27.56,25.57,4.03,3.68,82.91,52.16,1.25,630.4,1,6,2431.0
2019-01-01 07:00:00,-15.9,0.03,0.76,12.98,4.62,4.29,82.07,58.93,1.26,630.4,1,7,3093.0
2019-01-01 08:00:00,-16.38,0.1,1.18,16.88,5.83,5.42,82.55,63.02,1.18,630.4,1,8,3795.0
2019-01-01 09:00:00,-16.72,0.13,0.83,13.2,4.32,3.92,78.92,64.33,1.28,630.4,1,9,4403.0
2019-01-01 10:00:00,-16.8,0.15,1.93,12.3,4.71,4.36,81.18,86.54,1.55,630.4,1,10,5405.0
2019-01-01 11:00:00,-16.94,0.25,1.16,7.86,3.77,3.52,80.06,106.63,1.44,627.55,1,11,5833.0
2019-01-01 12:00:00,-17.38,0.35,0.9,7.78,2.2,2.04,78.05,98.56,1.24,625.0,1,12,5948.0
2019-01-01 13:00:00,-16.8,0.36,1.11,12.3,1.93,1.77,76.83,90.42,0.99,625.0,1,13,6144.0
2019-01-01 14:00:00,-16.84,0.46,1.26,17.58,2.52,2.32,77.5,83.72,0.68,625.0,1,14,6265.0
2019-01-01 15:00:00,-16.86,0.44,2.38,20.16,3.89,3.59,77.52,115.85,0.33,625.36,1,15,5751.0
2019-01-01 16:00:00,-16.24,0.47,7.36,17.65,5.86,5.41,74.36,110.81,0.45,625.0,1,16,5668.0
2019-01-01 17:00:00,-15.63,0.39,13.7,15.97,6.92,6.47,71.1,237.68,0.91,625.0,1,17,5272.0
2019-01-01 18:00:00,-14.68,0.44,15.76,14.84,6.9,6.35,68.57,184.63,1.04,625.0,1,18,4464.0
2019-01-01 19:00:00,-13.45,0.35,7.86,6.91,7.45,6.89,61.97,227.13,1.25,625.0,1,19,3689.0
2019-01-01 20:00:00,-12.65,0.34,5.16,5.5,7.77,7.12,59.06,221.77,1.18,625.0,1,20,3105.0
2019-01-01 21:00:00,-11.14,0.33,4.98,5.43,7.42,6.72,53.93,110.33,0.73,625.0,1,21,2672.0
2019-01-01 22:00:00,-11.07,0.34,5.83,7.89,7.61,6.9,54.96,109.42,0.74,625.0,1,22,1789.0
2019-01-01 23:00:00,-11.4,0.27,4.6,10.8,7.38,6.64,57.99,76.8,0.86,625.0,1,23,1283.0
2019-01-02 00:00:00,-12.02,0.32,2.85,19.4,8.1,7.3,60.66,76.16,0.46,625.0,1,0,808.0
2019-01-02 01:00:00,-13.26,0.46,6.56,29.32,8.52,7.68,66.91,92.02,0.61,625.0,1,1,703.0
2019-01-02 02:00:00,-13.4,0.68,25.14,43.82,12.16,11.14,69.58,121.24,0.6,625.0,1,2,1146.0
2019-01-02 03:00:00,-13.39,0.71,32.26,43.44,14.81,13.69,72.37,149.12,0.52,625.0,1,3,2327.0
2019-01-02 04:00:00,-13.39,0.5,19.11,37.44,14.87,13.8,72.7,162.21,0.56,625.0,1,4,5228.0
2019-01-02 05:00:00,-14.56,0.57,37.55,36.8,15.74,14.58,76.5,148.86,0.25,625.0,1,5,7830.0
2019-01-02 06:00:00,-15.1,1.47,119.89,83.98,16.92,15.84,79.51,131.0,0.7,625.0,1,6,8029.0
2019-01-02 07:00:00,-15.1,0.7,47.32,41.69,16.42,15.37,77.91,145.78,0.65,625.0,1,7,7574.0
2019-01-02 08:00:00,-15.1,0.68,36.57,40.12,15.4,14.47,77.76,149.17,0.43,625.0,1,8,7671.0
2019-01-02 09:00:00,-15.82,0.76,57.99,40.93,14.76,13.82,81.9,218.66,0.17,625.0,1,9,7829.0
2019-01-02 10:00:00,-15.65,1.05,110.45,45.14,16.93,15.82,83.83,166.36,0.35,625.0,1,10,8295.0
2019-01-02 11:00:00,-15.98,0.83,138.78,48.58,14.78,13.9,84.58,159.47,0.47,625.0,1,11,8324.0
2019-01-02 12:00:00,-15.73,1.25,138.73,50.66,12.26,11.5,85.58,164.6,0.45,625.0,1,12,8449.0
2019-01-02 13:00:00,-14.49,0.87,96.64,49.7,9.04,8.4,82.8,167.04,0.87,625.0,1,13,8371.0
2019-01-02 14:00:00,-12.1,0.62,41.62,44.74,4.88,4.39,70.37,175.95,1.01,625.0,1,14,7087.0
2019-01-02 15:00:00,-11.17,0.68,71.26,50.39,4.64,4.15,65.6,179.47,1.12,625.0,1,15,6441.0
2019-01-02 16:00:00,-8.46,0.63,51.77,38.28,4.53,3.62,55.08,180.42,1.06,625.0,1,16,5033.0
2019-01-02 17:00:00,-5.86,0.45,64.86,39.29,5.26,4.01,46.79,185.85,1.05,625.0,1,17,6304.0
2019-01-02 18:00:00,-2.42,0.38,36.95,26.85,5.25,3.65,39.21,176.72,0.91,625.0,1,18,5626.0
2019-01-02 19:00:00,0.37,0.33,26.22,21.94,5.72,3.3,32.36,174.7,1.16,625.0,1,19,4390.0
2019-01-02 20:00:00,3.54,0.26,22.14,19.82,7.68,3.6,26.7,165.7,0.8,625.0,1,20,3601.0
2019-01-02 21:00:00,5.72,0.22,16.06,18.14,7.56,3.4,22.08,160.96,0.53,625.0,1,21,2907.0
2019-01-02 22:00:00,5.47,0.26,11.92,19.22,6.13,3.0,24.43,89.84,0.72,625.0,1,22,2093.0
2019-01-02 23:00:00,5.73,0.3,11.41,27.23,6.03,3.21,23.97,220.87,0.83,625.0,1,23,1646.0
2019-01-03 00:00:00,3.25,0.55,20.62,51.71,8.67,4.83,30.49,205.61,0.54,625.0,1,0,969.0
2019-01-03 01:00:00,-0.7,1.11,75.23,58.76,15.44,10.09,42.39,156.22,0.08,625.0,1,1,952.0
2019-01-03 02:00:00,-2.94,2.14,196.36,60.94,16.01,9.93,55.94,144.72,0.25,625.0,1,2,1172.0
2019-01-03 03:00:00,-4.0,1.88,171.26,61.86,12.0,8.48,61.3,155.65,0.56,625.0,1,3,2265.0
2019-01-03 04:00:00,-4.62,0.92,56.38,54.8,6.54,5.54,62.92,160.06,0.75,625.0,1,4,5510.0
2019-01-03 05:00:00,-5.08,0.46,13.02,35.9,4.35,3.55,58.23,162.44,0.75,625.0,1,5,8828.0
2019-01-03 06:00:00,-5.81,0.75,32.3,36.48,3.95,3.14,58.74,157.53,0.4,625.0,1,6,7902.0
2019-01-03 07:00:00,-6.53,0.51,14.96,47.48,3.29,2.74,58.57,163.46,0.41,625.0,1,7,7929.0
2019-01-03 08:00:00,-6.91,0.55,17.41,48.14,3.39,2.67,59.53,161.69,0.57,625.0,1,8,7847.0
2019-01-03 09:00:00,-6.63,0.44,8.2,44.64,2.2,1.91,55.34,177.4,0.84,625.0,1,9,8113.0
2019-01-03 10:00:00,-6.8,0.44,6.01,40.58,2.38,1.96,53.08,170.58,0.89,625.0,1,10,8744.0
2019-01-03 11:00:00,-6.39,0.44,6.44,41.75,1.86,1.57,51.92,179.11,0.93,625.0,1,11,8089.0
2019-01-03 12:00:00,-6.0,0.49,8.83,41.27,2.38,1.64,49.86,182.1,1.08,625.0,1,12,8364.0
2019-01-03 13:00:00,-5.9,0.53,11.28,38.42,2.9,1.68,48.66,178.16,1.0,625.0,1,13,7664.0
2019-01-03 14:00:00,-5.28,0.62,22.06,45.17,3.1,1.9,48.09,180.1,1.1,625.0,1,14,7466.0
2019-01-03 15:00:00,-4.93,0.66,30.23,45.08,3.64,2.13,47.18,178.08,1.35,625.0,1,15,6138.0
2019-01-03 16:00:00,-2.8,0.69,31.95,33.51,3.44,2.04,41.3,181.27,1.68,625.0,1,16,6432.0
2019-01-03 17:00:00,0.29,0.51,34.31,31.28,4.57,2.5,36.88,182.19,1.48,625.0,1,17,7289.0
2019-01-03 18:00:00,4.14,0.58,40.46,31.64,5.89,2.95,32.22,188.03,1.08,625.0,1,18,5806.0
2019-01-03 19:00:00,7.56,0.64,38.94,30.88,7.56,3.28,29.08,195.8,1.06,625.0,1,19,4589.0
2019-01-03 20:00:00,9.74,0.58,34.03,30.91,12.27,4.61,27.54,190.16,1.12,624.35,1,20,3844.0
2019-01-03 21:00:00,11.57,0.56,27.26,29.42,9.02,3.36,25.67,193.63,1.17,621.17,1,21,3099.0
2019-01-03 22:00:00,13.22,0.5,21.56,27.64,7.44,2.62,22.99,152.61,0.74,619.5,1,22,2228.0
2019-01-03 23:00:00,14.04,0.3,8.98,22.77,3.28,1.57,19.96,96.1,0.33,619.5,1,23,1422.0
2019-01-04 00:00:00,11.88,0.77,69.28,54.86,13.06,6.46,26.33,243.06,0.1,621.38,1,0,
2019-01-04 01:00:00,6.37,1.68,133.28,54.46,14.15,7.79,40.39,142.38,0.4,623.52,1,1,
2019-01-04 02:00:00,3.96,1.83,148.66,54.66,11.28,6.98,50.55,162.27,0.66,624.91,1,2,
2019-01-04 03:00:00,3.44,1.14,73.24,51.84,7.94,5.18,50.06,158.77,0.91,624.91,1,3,
2019-01-04 04:00:00,2.96,0.5,14.42,43.69,4.26,3.15,50.34,165.53,0.81,625.0,1,4,
2019-01-04 05:00:00,1.38,0.51,38.23,42.16,4.92,3.71,55.47,144.54,0.55,625.0,1,5,
2019-01-04 06:00:00,0.16,1.24,109.7,83.35,4.01,3.31,60.4,168.22,1.02,625.0,1,6,
2019-01-04 07:00:00,0.16,0.27,16.11,43.58,3.16,2.64,59.35,162.47,0.81,625.0,1,7,
2019-01-04 08:00:00,-0.14,0.31,21.51,45.9,3.0,2.48,59.83,176.81,0.91,625.0,1,8,
2019-01-04 09:00:00,1.0,0.15,5.66,35.01,1.7,1.42,54.6,175.16,1.2,625.0,1,9,
2019-01-04 10:00:00,1.09,0.14,3.28,31.01,1.27,1.04,53.96,176.36,1.16,625.0,1,10,
2019-01-04 11:00:00,0.1,0.12,7.5,40.09,1.43,1.12,56.7,190.49,0.47,625.0,1,11,
2019-01-04 12:00:00,-1.4,0.42,98.41,53.16,3.54,2.86,63.33,190.41,0.54,625.0,1,12,
2019-01-04 13:00:00,-0.7,0.36,21.61,46.05,1.88,1.53,60.11,165.43,0.73,625.0,1,13,
2019-01-04 14:00:00,-1.56,0.66,54.78,48.95,1.9,1.43,62.57,122.8,0.42,625.0,1,14,
2019-01-04 15:00:00,-2.21,0.82,88.51,52.78,2.62,1.96,64.47,155.27,0.61,625.0,1,15,
2019-01-04 16:00:00,1.24,0.69,67.65,45.7,3.07,2.02,51.95,169.56,1.05,625.0,1,16,
2019-01-04 17:00:00,5.16,0.55,48.57,38.51,4.26,2.42,39.97,178.38,1.04,625.0,1,17,
2019-01-04 18:00:00,9.94,0.66,36.44,32.98,5.88,2.86,29.62,182.11,1.04,625.0,1,18,
2019-01-04 19:00:00,13.54,0.62,31.22,30.54,5.59,2.74,23.86,196.18,0.9,625.0,1,19,
2019-01-04 20:00:00,15.91,0.57,19.75,25.2,5.06,2.49,20.19,214.85,0.77,623.33,1,20,
2019-01-04 21:00:00,17.76,0.48,9.62,19.92,3.54,1.71,16.47,94.45,0.7,621.08,1,21,
2019-01-04 22:00:00,17.5,0.45,7.2,19.98,3.02,1.56,16.16,59.69,0.87,620.77,1,22,
2019-01-04 23:00:00,17.3,0.39,7.4,25.08,5.92,1.82,16.22,60.42,0.96,624.77,1,23,
2019-01-05 00:00:00,15.3,0.76,33.62,48.84,3.97,2.04,20.25,56.95,0.39,625.0,1,0,899.0
2019-01-05 01:00:00,9.97,1.95,157.58,57.87,13.49,8.02,31.0,107.0,0.15,625.0,1,1,565.0
2019-01-05 02:00:00,6.6,2.32,188.84,54.15,16.8,10.86,41.18,175.3,0.17,625.0,1,2,567.0
2019-01-05 03:00:00,4.54,2.39,240.23,57.52,17.72,12.06,47.62,138.45,0.29,625.0,1,3,661.0
2019-01-05 04:00:00,3.08,2.04,178.36,53.15,13.2,9.94,52.02,157.48,0.53,625.0,1,4,1177.0
2019-01-05 05:00:00,3.23,0.8,47.46,37.92,6.9,5.52,50.45,174.24,0.66,625.0,1,5,2152.0
2019-01-05 06:00:00,2.96,0.71,29.73,42.21,3.56,2.88,50.57,168.62,0.98,625.0,1,6,3834.0
2019-01-05 07:00:00,2.28,0.61,24.97,42.71,3.51,2.63,51.26,177.4,0.59,625.0,1,7,4622.0
2019-01-05 08:00:00,1.5,0.54,10.26,41.07,3.06,2.47,52.0,169.26,0.73,625.0,1,8,5388.0
2019-01-05 09:00:00,1.32,0.57,15.36,42.86,3.09,2.52,51.71,174.92,0.87,625.0,1,9,6231.0
2019-01-05 10:00:00,1.71,0.41,2.56,30.66,2.03,1.65,49.04,167.22,0.87,625.0,1,10,7020.0
