,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5
,count,mean,std,min,25%,50%,75%,max
hour,,,,,,,,
0,268,9.779738806,9.019306899,0.7,4.17,6.69,11.955,60.62
1,267,10.54853933,10.34938844,0.58,4.1,6.58,13.425,92.19
2,267,11.86842697,13.48367416,0.98,4.445,7.82,14.95,155.99
3,267,12.35554307,11.34304059,1.26,4.825,8.18,15.65,67.84
4,266,12.95691729,11.93438825,1.66,4.8925,9.465,16.955,104.99
5,266,12.68285714,11.83966576,1.44,5.6225,9.33,15.99,100.43
6,263,12.10623574,10.2765187,1.34,5.61,8.83,15.145,66.01
7,264,11.44875,10.32354824,1.31,5.2725,8.285,14.0525,82.72
8,261,10.9737931,8.950280345,0.28,5.18,7.89,13.76,51.8
9,262,10.1580916,8.995835019,0.18,4.595,7.12,12.9125,64.6
10,264,9.878939394,8.937158237,0.19,4.2675,6.85,12.4025,54.01
11,264,9.535454545,8.296282448,0.25,4.2275,7.31,12.505,49.64
12,264,9.947840909,7.995884652,0.38,4.595,7.755,12.9925,47.57
13,262,11.3679771,8.691834065,0.48,5.415,9.3,14.7575,52.03
14,265,13.31777358,9.749495711,0.54,6.3,10.69,16.66,52.31
15,262,13.35160305,9.914520163,0.64,7.1675,10.79,16.62,62.17
16,262,12.60068702,10.08680802,0.38,6.5675,9.81,15.885,78.8
17,264,11.54113636,8.915925355,0,5.83,9.32,14.0325,55.12
18,267,10.92153558,8.681514297,0,4.93,8.09,14.445,54.19
19,263,9.989353612,8.694655766,0,4.455,7.51,12.74,59.12
20,265,10.03626415,9.456776551,0,4.28,6.88,12.8,65.23
21,267,9.805318352,11.00958534,0.7,3.91,6.93,11.7,110.99
22,268,9.585373134,9.534379123,0.67,4.0175,6.92,11.8675,91.78
23,268,9.475149254,9.395885603,0.59,4.0975,6.465,11.2325,82.45
